References,DOIS,Iteration,Status
"Jie Cui, Haojie Chang, Ren-li Zhang, ""High Selectivity Slot-Coupled Bandpass Filter Using Discriminating Coupling and Source-Load Coupling"", Applied Sciences, 2020.",http://dx.doi.org/10.3390/APP10196807,1.0,Extraction successful
"Esmaeil Fathi, F. Setoudeh, M. Tavakoli, ""Design and fabrication of a novel multilayer bandpass filter with high‐order harmonics suppression using parallel coupled microstrip filter"", ETRI Journal, 2022.",http://dx.doi.org/10.4218/etrij.2020-0330,2.0,Extraction successful
"A. Martínez-Ros, A. Fernández-Prieto, ""Passive Planar Microwave Devices"", Applied Sciences, 2022.",http://dx.doi.org/10.3390/app12094444,2.0,Extraction successful
