References
"M.R. Ogiela, L. Ogiela, U. Ogiela, Security and privacy in distributed information management, in 2014 International Conference on Intelligent Networking and Collaborative Systems, INSPEC Accession Number: 14985068. https://doi.org/10.1109/INCoS.2014.108"
"S. Rao, Distributed system: an algorithmic approach. IEEE Distrib. Syst. 9(11) (2008)"
"D.E. Bakken, R. Parameswaran, D.M. Blough, A.A. Franz, T.J. Palmer, Data obfuscation: anonymity and desensitization of usable data sets. IEEE Secur. Privacy Mag. 2, 34–41 (2004)"
"J. Hamm, A.C. Champion, G. Chen, M. Belkin, D. Xuan, Crowd-ml: a privacy-preserving learning framework for a crowd of smart devices, in IEEE International Conference on Distributed Computing Systems (2015)"
"T.H. Cormen, C.E. Leiserson, R.L. Rivest, C. Stein, Introduction to Algorithms, 2nd edn. (The MIT Press, 2001)"
