References,Status,Iteration
"K. Petersen, Çigdem Gencel, Negin Asghari, D. Baca, Stefanie Betz, ""Action research as a model for industry-academia collaboration in the software engineering context"", WISE@ASE, 2014.",Extraction successful,0
"Pilar Rodríguez, P. Kuvaja, M. Oivo, ""Lessons learned on applying design science for bridging the collaboration gap between industry and academia in empirical software engineering"", Conducting Empirical Studies in Industry, 2014.",Extraction successful,0
"Silverio Martínez-Fernández, Helena Martins Marques, ""Practical experiences in designing and conducting empirical studies in industry-academia collaboration"", Conducting Empirical Studies in Industry, 2014.",Extraction successful,0
"P. Runeson, Sten Minör, Johan Svenér, ""Get the cogs in synch: time horizon aspects of industry--academia collaboration"", WISE@ASE, 2014.",Extraction successful,0
"P. Runeson, Sten Minör, ""The 4+1 view model of industry--academia collaboration"", WISE@ASE, 2014.",Extraction successful,0
"Eduard Paul Enoiu, Adnan Causevic, ""Enablers and impediments for collaborative research in software testing: an empirical exploration"", WISE@ASE, 2014.",Extraction successful,0
"A. Kanso, D. Monette, ""Foundations for long-term collaborative research"", WISE@ASE, 2014.",Extraction successful,0
"C. Wohlin, ""Empirical software engineering research with industry: Top 10 challenges"", Conducting Empirical Studies in Industry, 2013.",Extraction successful,0
"A. Sandberg, L. Pareto, T. Arts, ""Agile Collaborative Research: Action Principles for Industry-Academia Collaboration"", IEEE Software, 2011.",Extraction successful,0
